time,visibility,air_temperature,dewpoint,wind_direction,wind_speed,air_pressure,cloud_height,cloud_cover
2015-01-01 00:20,2800,1,1,0,0,1036,200,OVC
2015-01-01 00:50,1500,1,1,0,0,1036,100,OVC
2015-01-01 01:20,1000,1,1,0,0,1036,100,OVC
2015-01-01 01:50,700,1,1,0,0,1036,,
2015-01-01 02:20,600,1,1,0,0,1036,,
2015-01-01 02:50,600,1,1,0,0,1036,,
2015-01-01 03:20,700,1,1,0,0,1036,,
2015-01-01 03:50,700,1,1,0,0,1036,,
2015-01-01 04:20,1000,1,1,0,0,1036,200,OVC
2015-01-01 04:50,900,1,1,0,0,1036,200,BKN
2015-01-01 05:20,900,1,1,0,0,1036,200,BKN
2015-01-01 05:50,1300,1,1,0,0,1036,200,BKN
2015-01-01 06:20,1200,1,1,,2,1037,200,FEW
2015-01-01 06:50,1600,1,1,300,3,1037,200,FEW
2015-01-01 07:20,1100,1,1,0,0,1038,300,FEW
2015-01-01 07:50,700,1,1,160,4,1037,,
2015-01-01 08:20,700,1,1,,2,1038,,
2015-01-01 08:50,600,1,1,160,5,1037,2700,BKN
2015-01-01 09:20,700,2,1,200,4,1037,300,FEW
2015-01-01 09:50,800,2,2,230,5,1037,,
2015-01-01 10:20,900,2,1,220,5,1037,,
2015-01-01 10:50,900,2,2,240,4,1036,,
2015-01-01 11:20,1300,2,2,240,4,1037,300,FEW
2015-01-01 11:50,1500,3,2,240,4,1036,300,FEW
2015-01-01 12:20,1600,3,2,220,3,1036,300,FEW
2015-01-01 12:50,2000,3,2,,2,1036,500,BKN
2015-01-01 13:20,2200,3,2,210,4,1036,600,BKN
2015-01-01 13:50,2400,3,2,170,6,1035,600,FEW
2015-01-01 14:20,2400,3,2,180,5,1035,900,SCT
2015-01-01 14:50,2000,3,2,210,4,1035,500,SCT
2015-01-01 15:20,2000,3,2,210,5,1036,500,SCT
2015-01-01 15:50,2000,3,2,180,5,1036,500,SCT
2015-01-01 16:20,2800,3,2,180,5,1035,500,SCT
2015-01-01 16:50,3500,3,2,190,8,1035,500,FEW
2015-01-01 17:20,3600,3,2,200,7,1035,500,FEW
2015-01-01 17:50,4000,3,2,190,6,1035,600,FEW
2015-01-01 18:20,4500,3,2,190,7,1035,500,FEW
2015-01-01 18:50,5000,3,2,190,7,1035,600,FEW
2015-01-01 19:20,5000,3,2,190,8,1034,600,FEW
2015-01-01 19:50,5000,3,2,200,8,1034,600,FEW
2015-01-01 20:20,5000,3,1,200,8,1034,500,FEW
2015-01-01 20:50,6000,2,1,200,8,1034,500,SCT
2015-01-01 21:20,6000,2,1,210,7,1033,500,SCT
2015-01-01 21:50,7000,2,1,220,8,1034,700,OVC
2015-01-01 22:20,8000,2,1,220,10,1033,700,OVC
2015-01-01 22:50,10000,2,1,220,10,1033,700,OVC
2015-01-01 23:20,10000,2,1,230,8,1033,700,BKN
2015-01-01 23:50,10000,2,1,200,10,1032,700,BKN
2015-01-02 00:20,8000,2,1,200,11,1032,700,OVC
2015-01-02 00:50,8000,2,1,200,11,1031,500,OVC
2015-01-02 01:20,8000,2,1,200,12,1031,500,OVC
2015-01-02 01:50,10000,1,0,210,14,1030,600,BKN
2015-01-02 02:20,10000,1,0,210,11,1030,800,BKN
2015-01-02 02:50,10000,1,0,210,10,1030,800,BKN
2015-01-02 03:20,10000,1,0,210,11,1030,700,BKN
2015-01-02 03:50,10000,1,0,200,10,1029,700,BKN
2015-01-02 04:20,10000,1,0,200,11,1029,700,BKN
2015-01-02 04:50,10000,1,-1,200,10,1029,700,SCT
2015-01-02 05:20,7000,0,-1,200,11,1029,700,SCT
2015-01-02 05:50,8000,1,0,200,12,1029,700,SCT
2015-01-02 06:20,7000,1,0,190,10,1028,700,SCT
2015-01-02 06:50,6000,1,0,190,12,1028,700,SCT
2015-01-02 07:20,6000,1,0,210,12,1028,700,FEW
2015-01-02 07:50,6000,1,0,200,12,1028,700,FEW
2015-01-02 08:20,6000,1,0,220,12,1028,800,FEW
2015-01-02 08:50,5000,1,0,200,12,1028,800,FEW
2015-01-02 09:20,4500,1,0,200,13,1028,800,FEW
2015-01-02 09:50,4000,1,1,200,11,1028,700,SCT
2015-01-02 10:20,4500,2,1,210,12,1028,700,SCT
2015-01-02 10:50,7000,2,1,210,13,1028,700,SCT
2015-01-02 11:20,10000,2,1,200,14,1028,600,FEW
2015-01-02 11:50,10000,2,1,200,14,1028,600,FEW
2015-01-02 12:20,10000,3,2,200,10,1028,600,FEW
2015-01-02 12:50,10000,4,2,210,13,1028,600,FEW
2015-01-02 13:20,10000,4,2,220,16,1028,600,FEW
2015-01-02 13:50,10000,4,2,210,16,1029,600,FEW
2015-01-02 14:20,10000,4,2,210,14,1029,600,FEW
2015-01-02 14:50,10000,4,2,210,15,1029,600,FEW
2015-01-02 15:20,10000,4,3,210,14,1029,600,FEW
2015-01-02 15:50,10000,4,3,220,15,1030,600,FEW
2015-01-02 16:20,10000,4,3,210,15,1030,600,FEW
2015-01-02 16:50,10000,4,3,220,14,1031,1500,FEW
2015-01-02 17:20,10000,4,3,210,13,1031,1600,SCT
2015-01-02 17:50,10000,4,3,210,12,1031,1900,BKN
2015-01-02 18:20,10000,4,3,180,9,1032,1900,BKN
2015-01-02 18:50,10000,4,2,180,10,1033,1900,SCT
2015-01-02 19:20,10000,3,2,200,10,1033,2500,SCT
2015-01-02 19:50,10000,4,2,210,10,1033,2500,SCT
2015-01-02 20:20,10000,3,2,190,9,1033,2900,SCT
2015-01-02 20:50,10000,3,1,200,11,1033,4500,SCT
2015-01-02 21:20,10000,3,1,210,11,1034,,
2015-01-02 21:50,10000,3,1,220,12,1034,,
2015-01-02 22:20,10000,2,1,220,10,1034,,
2015-01-02 22:50,10000,2,1,220,12,1034,,
2015-01-02 23:20,10000,2,0,210,10,1033,,
2015-01-02 23:50,10000,2,0,210,10,1034,,
2015-01-03 00:20,10000,1,0,210,8,1034,,
2015-01-03 00:50,10000,1,0,210,5,1034,,
2015-01-03 01:20,10000,2,0,200,4,1034,,
2015-01-03 01:50,10000,2,0,220,7,1034,,
2015-01-03 02:20,10000,2,0,220,6,1034,,
2015-01-03 02:50,10000,2,0,210,7,1033,,
2015-01-03 03:20,10000,1,0,210,7,1033,,
2015-01-03 03:50,10000,1,0,200,6,1032,,
2015-01-03 04:20,10000,2,1,200,5,1032,,
2015-01-03 04:50,10000,1,1,180,6,1031,,
2015-01-03 05:20,8000,1,1,170,4,1032,1100,SCT
2015-01-03 05:50,9000,2,1,170,4,1031,600,FEW
2015-01-03 06:20,9000,1,1,180,6,1030,300,FEW
2015-01-03 06:50,8000,1,0,180,6,1029,300,FEW
2015-01-03 07:20,7000,1,1,180,4,1030,300,FEW
2015-01-03 07:50,6000,1,1,170,5,1029,500,FEW
2015-01-03 08:20,8000,2,1,190,7,1029,500,FEW
2015-01-03 08:50,10000,2,1,190,10,1029,400,FEW
2015-01-03 09:20,10000,2,1,200,8,1028,400,FEW
2015-01-03 09:50,10000,3,2,160,6,1027,400,FEW
2015-01-03 10:20,10000,3,2,200,11,1027,400,FEW
