STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1550;20171010;   10;   5.6;   1.0;    3;   0.0;   6;    2.300;   0;   7.5;   9.4;  937.40;    9.3;   82.50;   15.7;    4.6;    3.0;eor
       1550;20171011;   10;-999;-999;    3;   0.0;   0;    9.533;   0;   2.6;   9.1;  938.41;    9.2;   81.04;   18.5;    2.9;    1.4;eor
       1550;20171012;   10;-999;-999;    3;   0.0;   0;    9.483;   0;   1.9;   9.0;  941.30;   10.6;   75.92;   22.2;    3.1;    1.1;eor
       1550;20171013;   10;-999;-999;    3;   0.0;   0;    9.483;   0;   3.8;  10.3;  944.63;   10.7;   82.04;   19.5;    4.8;    2.9;eor
       1550;20171014;   10;-999;-999;    3;   0.0;   0;    9.617;   0;   0.3;   9.9;  944.99;   11.2;   78.67;   21.4;    3.9;    1.9;eor
       1550;20171015;   10;-999;-999;    3;   0.0;   0;    9.550;   0;   0.0;  10.3;  944.39;   12.1;   77.79;   23.0;    4.5;    2.3;eor
       1550;20171016;   10;-999;-999;    3;   0.0;   0;    9.383;   0;   0.0;   9.5;  944.23;   12.1;   73.46;   24.1;    5.1;    2.6;eor
       1550;20171017;   10;-999;-999;    3;   0.0;   0;    8.767;   0;   4.1;   9.1;  940.16;   11.5;   73.21;   23.0;    3.9;    1.5;eor
       1550;20171018;   10;   8.3;-999;    3;   0.0;   0;    9.067;   0;   2.9;   8.6;  934.08;   11.0;   71.50;   21.6;    3.7;    1.4;eor
       1550;20171019;   10;   7.2;   1.3;    3;   0.0;   0;    9.000;   0;   1.0;   8.3;  932.77;   10.5;   72.17;   22.3;    2.7;    0.3;eor
       1550;20171020;   10;   5.1;   0.8;    3;   0.0;   6;    8.833;   0;   5.0;   8.5;  933.85;   11.3;   68.83;   22.2;    4.2;    2.0;eor
       1550;20171021;   10;  12.0;   0.7;    3;   6.8;   6;    4.383;   0;   7.3;  10.3;  934.77;   12.3;   74.54;   20.6;    6.4;    4.9;eor
       1550;20171022;   10;   9.7;   1.4;    3;   5.2;   6;    0.000;   0;   7.0;   9.1;  934.96;    7.5;   87.58;   10.0;    4.9;    4.8;eor
       1550;20171023;   10;   4.5;   1.0;    3;   4.6;   6;    0.000;   0;   6.2;   8.2;  937.80;    5.3;   91.58;    7.1;    4.3;    4.0;eor
       1550;20171024;   10;   3.4;   0.5;    3;   0.0;   6;    5.367;   0;   6.8;   8.2;  942.90;    7.3;   82.54;   15.4;    2.9;    1.1;eor
       1550;20171025;   10;   2.7;   0.8;    3;   0.0;   0;    6.267;   0;   6.8;   8.9;  942.31;    8.6;   82.17;   19.6;    2.5;    0.6;eor
       1550;20171026;   10;   5.0;   1.2;    3;   0.0;   6;    8.200;   0;   5.5;   8.8;  942.23;    9.4;   78.67;   20.4;    3.3;    1.2;eor
       1550;20171027;   10;  15.5;   1.4;    3;  17.1;   6;    0.000;   0;   7.1;   9.3;  940.53;    6.8;   93.00;   13.3;    4.4;    2.3;eor
       1550;20171028;   10;  11.9;   1.3;    3;   0.9;   6;    4.500;   0;   7.0;   5.8;  938.91;    7.7;   61.04;   12.5;    1.3;    0.1;eor
       1550;20171029;   10;  15.0;   3.2;    3;  10.5;   6;    0.000;   0;   7.4;   8.6;  929.77;    9.3;   74.67;   14.8;    3.8;    3.5;eor
       1550;20171030;   10;   6.5;   1.1;    3;   0.0;   0;    1.250;   0;   5.7;   6.3;  939.48;    3.2;   82.50;    7.3;   -0.8;   -2.6;eor
       1550;20171031;   10;   6.4;   1.0;    3;   0.0;   0;    7.767;   0;   2.2;   5.5;  941.86;    1.6;   81.67;    8.5;   -2.8;   -4.9;eor
       1550;20171101;   10;   2.7;   0.9;    3;   0.0;   6;    0.100;   0;   7.3;   7.0;  939.78;    4.1;   85.42;   10.5;   -1.6;   -3.6;eor
       1550;20171102;   10;   3.1;   0.8;    3;   0.6;   6;    0.050;   0;   8.0;   8.3;  934.14;    6.3;   87.38;   12.3;    1.3;   -0.7;eor
       1550;20171103;   10;   5.3;   1.2;    3;   0.3;   6;    4.050;   0;   3.6;   9.1;  933.41;    7.2;   89.38;   13.2;    0.9;   -1.4;eor
       1550;20171104;   10;   2.9;   1.1;    3;   0.0;   0;    4.800;   0;   7.8;   7.3;  930.67;    5.7;   82.46;   16.4;    0.4;   -2.1;eor
       1550;20171105;   10;   6.6;   1.5;    3;  28.2;   8;    0.283;   0;   7.3;   7.9;  926.98;    5.7;   86.88;   13.0;    1.0;    0.2;eor
       1550;20171106;   10;   5.1;   1.6;    3;   2.7;   8;    0.000;   0;  -999;   6.6;  934.53;    1.7;   94.71;    3.0;    0.5;    0.0;eor
       1550;20171107;   10;   5.8;   1.4;    3;   1.5;   6;    0.283;   0;   6.7;   7.1;  931.92;    3.6;   89.33;    6.3;    2.3;    2.1;eor
       1550;20171108;   10;   5.3;   1.2;    3;   0.1;   6;    1.700;   0;   7.9;   7.2;  932.60;    4.1;   88.13;    7.7;    2.2;    1.9;eor
       1550;20171109;   10;   3.7;   1.0;    3;   0.0;   6;    0.000;   0;   8.0;   7.4;  937.85;    4.3;   88.88;    5.7;    3.3;    3.1;eor
       1550;20171110;   10;   3.1;   0.9;    3;   2.5;   6;    0.017;   0;   7.7;   7.2;  936.36;    4.8;   84.04;    6.7;    3.4;    2.8;eor
       1550;20171111;   10;   5.9;   1.0;    3;  19.2;   6;    0.000;   0;   7.1;   8.4;  930.26;    5.3;   93.46;    6.9;    3.4;    3.3;eor
       1550;20171112;   10;  14.5;   1.1;    3;  13.5;   8;    0.200;   0;   6.7;   8.7;  920.95;    5.8;   93.38;   10.1;    0.6;    0.0;eor
