model, count
Volkswagen Tiguan, 15
Ford Escape, 32
Chevrolet Silverado 1500, 116
Ford F-150, 185
Hyundai Sonata, 25
Dodge Challenger, 11
Honda Civic Coup, 17
Mazda CX-9, 18
Ford Expedition, 52
Nissan 370Z Roadster, 11
GMC Yukon, 16
Mazda MX-5 Miata, 28
Mazda Mazda3 4-Door, 26
GMC Sierra 1500, 124
Saab 9-3 Convertible, 14
Cadillac CTS-V Sedan, 6
Toyota Highlander, 25
Dodge Charger, 14
Hyundai Santa Fe, 27
Toyota Tundra, 66
Ford Ranger, 38
Volvo C70, 6
Nissan Titan, 70
Suzuki Kizashi, 7
Lexus LS, 12
Buick Regal, 13
BMW X5, 10
Saab 9-3 SportCombi, 13
Chevrolet Express, 21
Mazda RX-8, 10
Chevrolet Tahoe, 12
Kia Optima, 16
Audi A4 Sedan, 9
Chevrolet Cruze, 16
Buick Enclave, 20
Lexus GS, 6
Aston Martin DB9 Coup, 7
GMC Yukon XL, 27
Nissan Versa Sedan, 13
Toyota 4Runner, 16
Honda Element, 11
Mazda Mazda6, 23
Dodge Ram 1500, 109
Jeep Grand Cherokee, 48
Audi A5, 2
Jeep Compass, 12
Kia Rio, 8
Jeep Wrangler, 52
Nissan Pathfinder, 33
Honda Civic Sedan, 35
Chrysler Town and Country, 9
Chevrolet Suburban Half-Ton, 6
Infiniti G25, 6
Mitsubishi Outlander, 6
Cadillac CTS Sport Sedan, 36
Jaguar XK Convertible, 6
Volkswagen Jetta, 38
Nissan Sentra, 9
Jeep Liberty, 25
Honda Pilot, 20
Toyota Sequoia, 29
Audi A6 Avant, 2
Mercury Mariner, 16
Chevrolet Silverado 1500 Hybrid, 12
GMC Terrain, 36
Toyota Yaris 3-Door Liftback, 7
Infiniti G37 Coupe, 12
GMC Savana, 41
Volkswagen Passat, 6
Ford Explorer, 26
Subaru Impreza WRX Sedan, 8
Ford Fusion, 29
MINI Cooper Coupe, 5
Chevrolet Impala, 9
Cadillac Escalade ESV, 24
BMW 3 Series Sedan, 18
Chevrolet Corvette Coupe, 24
Honda Fit, 12
Mitsubishi Lancer, 6
Nissan Frontier, 55
Volvo XC70, 15
Toyota RAV4, 24
Chevrolet Colorado, 115
GMC Canyon, 78
Jaguar XJ, 18
Ford Taurus, 15
Ford Edge, 25
Ford E-250 Van, 16
Toyota Venza, 8
Volvo C30, 20
Buick Lacrosse, 22
Nissan Armada, 36
Subaru Outback, 14
Acura RDX, 4
Dodge Grand Caravan, 15
Ford Fiesta Sedan, 6
Volkswagen Golf 4-Door, 6
Chevrolet Aveo5, 10
Nissan Altima Coupe, 7
Volvo XC90, 18
Lincoln Town Car, 4
Land Rover Range Rover, 9
Lotus Exige, 5
BMW 3 Series Coup, 29
Cadillac STS, 13
Saab 9-3 Sport Sedan, 20
Porsche Cayenne, 12
Kia Sedona, 7
Buick Verano, 3
Hyundai Elantra Touring, 14
Chevrolet Corvette Grand Sport Coupe, 24
Mercedes-Benz C-Class, 20
Chevrolet Equinox, 43
Jeep Patriot, 23
Ford Mustang Coup, 25
Nissan Xterra, 23
Audi A6 Sedan, 5
Volvo S40, 7
BMW 3 Series Sports Wagon, 12
Toyota Corolla, 13
Suzuki Equator, 15
Kia Forte, 15
Mitsubishi Lancer Evolution, 2
Chevrolet Malibu, 19
Cadillac DTS, 8
Toyota Tacoma, 38
Toyota Yaris 5-Door Liftback, 8
Cadillac Escalade Hybrid, 10
Subaru Impreza WRX Hatchback, 9
Toyota Camry, 26
Subaru Forester, 23
Chevrolet Avalanche, 12
Buick Lucerne, 13
Ford Mustang Convertible, 24
Dodge Avenger, 11
Nissan Juke, 2
Chevrolet Camaro Coupe, 31
Chevrolet Traverse, 24
